Algorithm,Dataset,Gamma,Beta1,Beta2,Round,Global_Validation_Loss,F1_Score,Top1_Accuracy_Percent,Num_Selected_Clients,Num_Total_Clients,Num_Model_Params,Round_Time_Sec,Client_Time_Sec,Server_Time_Sec,Spatial_Var_Time_Sec,Peak_Memory_MB,Participation_Frac
FedAdam,FashionMNIST,,0.9,0.999,22,0.904237579870224,0.7312900655265332,74.19,7,100,54410,1.2783780097961426,1.275296688079834,0.0030813217163085938,,118.787109375,0.05-0.10
FedAdam,FashionMNIST,,0.9,0.999,23,1.442379314136505,0.6647384762959917,68.39,6,100,54410,0.996269702911377,0.9931979179382324,0.0030717849731445312,,118.787109375,0.05-0.10
FedAdam,FashionMNIST,,0.9,0.999,24,1.4846484274864198,0.6606624798236915,68.54,8,100,54410,1.478346347808838,1.4749295711517334,0.003416776657104492,,118.787109375,0.05-0.10
FedAdam,FashionMNIST,,0.9,0.999,25,0.9035133515357971,0.7283964612673006,73.48,5,100,54410,0.40255308151245117,0.40007781982421875,0.002475261688232422,,118.787109375,0.05-0.10
FedAdam,FashionMNIST,,0.9,0.999,26,0.6795489771366119,0.783548450677327,78.54,6,100,54410,1.0342655181884766,1.031125545501709,0.003139972686767578,,118.787109375,0.05-0.10
FedAdam,FashionMNIST,,0.9,0.999,27,0.6876859445333481,0.7785321958819218,77.99,9,100,54410,1.3748760223388672,1.3713364601135254,0.003539562225341797,,118.787109375,0.05-0.10
FedAdam,FashionMNIST,,0.9,0.999,28,0.677411482667923,0.7771170286884627,77.94,7,100,54410,1.0819833278656006,1.0791051387786865,0.0028781890869140625,,118.787109375,0.05-0.10
FedAdam,FashionMNIST,,0.9,0.999,29,0.7152906704425812,0.7499167178376931,76.34,5,100,54410,0.5331406593322754,0.5303244590759277,0.0028162002563476562,,118.787109375,0.05-0.10
FedAdam,FashionMNIST,,0.9,0.999,30,0.8056433827400208,0.719258658800635,74.33,9,100,54410,1.6991963386535645,1.6955273151397705,0.0036690235137939453,,118.787109375,0.05-0.10
FedAdam,FashionMNIST,,0.9,0.999,31,0.746179796743393,0.7472551595783645,76.41,6,100,54410,1.0264596939086914,1.0235381126403809,0.002921581268310547,,118.787109375,0.05-0.10
