Algorithm,Dataset,Gamma,Beta1,Beta2,Round,Global_Validation_Loss,F1_Score,Top1_Accuracy_Percent,Num_Selected_Clients,Num_Total_Clients,Num_Model_Params,Round_Time_Sec,Client_Time_Sec,Server_Time_Sec,Spatial_Var_Time_Sec,Peak_Memory_MB,Sweep_Type
FedHST,FashionMNIST,0.5,0.5,0.999,49,0.4520836492300034,0.8295735135550288,83.3,25,100,54410,3.4679043292999268,3.456836223602295,0.011068105697631836,0.010487556457519531,122.98095703125,beta1
FedHST,FashionMNIST,0.5,0.5,0.999,50,0.38632567365169523,0.8586043323196547,85.9,30,100,54410,4.200928449630737,4.188318490982056,0.01260995864868164,0.011968612670898438,122.98095703125,beta1
FedHST,FashionMNIST,0.5,0.7,0.999,1,2.2208024307250978,0.17866502411995958,27.14,30,100,54410,5.198171854019165,5.184548377990723,0.013623476028442383,0.012991666793823242,122.7568359375,beta1
FedHST,FashionMNIST,0.5,0.7,0.999,2,1.4821529500961304,0.4474168248819165,50.62,26,100,54410,3.9066271781921387,3.8944852352142334,0.012141942977905273,0.01145029067993164,122.7568359375,beta1
FedHST,FashionMNIST,0.5,0.7,0.999,3,1.4249584451675414,0.5857916415826736,63.39,30,100,54410,4.735332012176514,4.721611261367798,0.01372075080871582,0.013153076171875,122.98046875,beta1
FedHST,FashionMNIST,0.5,0.7,0.999,4,1.3707729972839355,0.5355016913015289,62.16,23,100,54410,3.2448368072509766,3.234360933303833,0.010475873947143555,0.00980067253112793,122.98046875,beta1
FedHST,FashionMNIST,0.5,0.7,0.999,5,0.8860914845466614,0.6588850917557095,68.1,26,100,54410,3.9702632427215576,3.9596285820007324,0.010634660720825195,0.009998798370361328,122.98046875,beta1
FedHST,FashionMNIST,0.5,0.7,0.999,6,0.9732214714050293,0.608248992707734,65.66,24,100,54410,4.839541435241699,4.82895827293396,0.010583162307739258,0.009935855865478516,122.98046875,beta1
FedHST,FashionMNIST,0.5,0.7,0.999,7,0.9554953830718994,0.5771715316202117,63.92,28,100,54410,4.924198865890503,4.911808013916016,0.012390851974487305,0.011798620223999023,122.98046875,beta1
FedHST,FashionMNIST,0.5,0.7,0.999,8,0.767274188041687,0.68867834103702,69.93,24,100,54410,3.8997750282287598,3.888906717300415,0.010868310928344727,0.010219812393188477,122.98046875,beta1
FedHST,FashionMNIST,0.5,0.7,0.999,9,0.719841425704956,0.7213279122721259,73.28,25,100,54410,3.520510196685791,3.5100371837615967,0.010473012924194336,0.009883880615234375,122.98046875,beta1
FedHST,FashionMNIST,0.5,0.7,0.999,10,0.6524576774597168,0.7492563269293141,76.64,20,100,54410,2.661076784133911,2.65230393409729,0.008772850036621094,0.008214950561523438,122.98046875,beta1
FedHST,FashionMNIST,0.5,0.7,0.999,11,0.569766208410263,0.7699587080134018,79.12,20,100,54410,2.1789212226867676,2.1692817211151123,0.009639501571655273,0.008968353271484375,122.98046875,beta1
FedHST,FashionMNIST,0.5,0.7,0.999,12,0.5536278840065002,0.779357908977477,80.21,30,100,54410,4.456502914428711,4.443507432937622,0.012995481491088867,0.012412786483764648,122.98046875,beta1
FedHST,FashionMNIST,0.5,0.7,0.999,13,0.5708148189544677,0.7845383070323677,79.47,29,100,54410,4.14499306678772,4.132612943649292,0.012380123138427734,0.011764764785766602,122.98046875,beta1
FedHST,FashionMNIST,0.5,0.7,0.999,14,0.5695017230987549,0.7894844594634521,79.44,22,100,54410,3.638629674911499,3.628450632095337,0.01017904281616211,0.009583711624145508,122.98046875,beta1
FedHST,FashionMNIST,0.5,0.7,0.999,15,0.5530731345176697,0.784190662687175,80.21,28,100,54410,4.138027667999268,4.126634836196899,0.011392831802368164,0.01085209846496582,122.98046875,beta1
FedHST,FashionMNIST,0.5,0.7,0.999,16,0.560169240140915,0.7786960847296927,80.7,28,100,54410,4.687011957168579,4.675873517990112,0.011138439178466797,0.010551929473876953,122.98046875,beta1
